step,mode,loss,angle_error(rad),distance(m)
1,training,0.024365034,0.6445691287517548,0.0
2,training,0.4149658,0.14952360093593597,0.0
3,training,0.01440153,0.4325835555791855,0.0
4,training,0.17434645,0.2691487371921539,0.0
5,training,0.20643494,0.01075369119644165,0.0
6,training,0.11216732,0.1848730444908142,0.2257834402641589
7,training,0.09818712,0.21569788455963135,0.2257834402641589
8,training,0.25054625,0.7924260199069977,0.31487606169328586
9,training,0.25286436,0.5684900879859922,0.31487606169328586
10,training,0.1414074,0.20328575372695934,0.3840759433449557
11,training,0.1233993,0.08422356843948375,0.4154509572517309
12,training,0.16368257,0.056421637535095104,0.4154509572517309
13,training,0.27839386,0.25157082080841064,0.41767842575081565
14,training,0.2159137,0.33162061870098114,0.41775138923994365
15,training,0.24694318,0.2542846202850342,0.41775138923994365
16,training,0.097858034,0.05248446948826313,0.41775138923994365
17,training,0.20647326,0.3186070006340742,0.41775138923994365
18,training,0.05457078,0.013054285198450082,0.41775138923994365
19,training,0.09370972,0.2381015494465828,0.29549762186245937
20,training,0.07208145,0.5543099194765091,0.29549762186245937
21,training,0.06041773,0.4455399885773659,0.29549762186245937
22,training,0.18240097,0.2998946011066437,0.29549762186245937
23,training,0.25572798,0.3738541305065155,0.29549762186245937
24,training,0.36995393,0.5784539729356766,0.2583722619155843
25,training,0.18019637,0.33010778576135635,0.2583722619155843
26,training,0.20555952,0.25395340472459793,0.2583722619155843
27,training,0.27625617,0.05740216001868248,0.2583722619155843
28,training,0.13908109,0.2674037218093872,0.2583722619155843
29,training,0.15374498,0.37562576681375504,0.16161383594911952
30,training,0.18939552,0.39048726856708527,0.16161383594911952
31,training,0.14992644,0.17630261927843094,0.16161383594911952
32,training,0.21027529,0.4851936921477318,0.16161383594911952
33,training,0.040048152,0.3168661296367645,0.16161383594911952
34,training,0.11755589,0.3175057917833328,0.10379406860443038
35,training,0.17548156,0.3005441427230835,0.10379406860443038
36,training,0.13773698,0.21546946465969086,0.10379406860443038
37,training,0.23485404,0.15384210646152496,0.10379406860443038
38,training,0.18560027,0.120460145175457,0.11932898088093276
39,training,0.24221325,0.22188788652420044,0.11932898088093276
40,training,0.077701256,0.027343813329935074,0.11932898088093276
41,training,0.13585733,0.12117964681237936,0.11932898088093276
42,training,0.062132068,0.003635199274867773,0.11932898088093276
43,training,0.2794472,0.3202176415361464,0.10793893630009836
44,training,0.28002736,0.01962808216921985,0.10793893630009836
45,training,0.24524283,0.443457780405879,0.10793893630009836
46,training,0.1942887,0.02999093011021614,0.10793893630009836
47,training,0.036214452,0.05550665408372879,0.10793893630009836
48,training,0.21108219,0.7598977088928223,0.10441014214646899
49,training,0.17182636,0.016671950463205576,0.10441014214646899
50,training,0.16859493,0.5529422760009766,0.10441014214646899
51,training,0.14231174,0.10722732916474342,0.10441014214646899
52,training,0.115929365,0.04011233150959015,0.10441014214646899
53,training,0.09358775,0.14293088018894196,0.07942295907302714
54,training,0.18353575,0.06518845446407795,0.07942295907302714
55,training,0.045376364,0.026224643923342228,0.07942295907302714
56,training,0.049532183,0.10356272663921118,0.07942295907302714
57,training,0.22167012,0.03044467279687524,0.07031534603557667
58,training,0.014764767,0.062300113029778004,0.07031534603557667
59,training,0.1749483,0.12044288963079453,0.07031534603557667
60,training,0.041198507,0.04598912596702576,0.26066931550200956
61,training,0.06588059,0.2739962935447693,0.26066931550200956
62,training,0.028301464,0.07720908895134926,0.26066931550200956
63,training,0.048840936,0.17278861440718174,0.26066931550200956
64,training,0.5004016,0.2626831727102399,0.26066931550200956
65,training,0.0745108,0.14010700769722462,0.48526465446078687
66,training,0.09652056,0.18949472904205322,0.48526465446078687
67,training,0.09177317,0.20529352873563766,0.48526465446078687
68,training,0.07976414,0.2054634839296341,0.48526465446078687
69,training,0.05776745,0.00941169261932373,0.48526465446078687
70,training,0.055063937,0.008584134280681596,0.7479113880562018
71,training,0.03411695,0.24313599616289142,0.7479113880562018
72,training,0.2574528,0.001954108476638794,0.7479113880562018
73,training,0.05212874,0.13316363096237188,0.7479113880562018
74,training,0.045373052,0.6070025712251663,0.7479113880562018
75,training,0.06067124,0.9095231592655183,1.022880336039818
76,training,0.014476566,0.874553292989731,1.022880336039818
77,training,0.06596306,1.1622757613658903,1.1120452498548035
78,training,0.23376656,1.0336343348026276,1.1120452498548035
79,training,0.014328395,0.8159889280796052,1.2141483790402872
80,training,0.14192942,0.6728310137987136,0.055542700509911835
81,training,0.07556061,0.4218610525131226,0.055542700509911835
82,training,0.043502178,0.3179922103881836,0.08110177727256294
83,training,0.020079704,0.6137700378894806,0.08110177727256294
84,training,0.31481466,0.770929291844368,0.10594674446304768
85,training,0.06646104,0.5318540036678314,0.10594674446304768
86,training,0.11365495,0.3003818094730377,0.10594674446304768
87,training,0.03945321,0.21504873409867287,0.10594674446304768
88,training,0.06268544,0.33372715348377824,0.10594674446304768
89,training,0.1156071,0.4406556524336338,0.06927156065083867
90,training,0.11647591,0.413579486310482,0.06927156065083867
91,training,0.050402552,0.15820490568876266,0.06927156065083867
92,training,0.09938146,0.2909872271120548,0.06927156065083867
93,training,0.039972596,0.1966889575123787,0.06927156065083867
94,training,0.029406695,0.08561541512608527,0.02513691811991579
95,training,0.06755017,0.3323599696159363,0.02513691811991579
96,training,0.09963358,0.4376503452658653,0.02513691811991579
97,training,0.06354642,0.18815280497074127,0.02513691811991579
98,training,0.118607044,0.0856093994807452,0.02513691811991579
