step,mode,loss,angle_error(rad),distance(m),x(m),y(m)
1,training,0.024366565,0.1359478197991848,0.0,76.0409320499,59.4021477783
2,training,0.018481813,0.11187990754842755,0.0,76.0409320499,59.4021477783
3,training,0.034859348,0.2401057407259941,0.0,76.0409320499,59.4021477783
4,training,0.031599928,0.2030285969376564,0.0,76.0409320499,59.4021477783
5,training,0.03593366,0.24120141565799713,0.0,76.0409320499,59.4021477783
6,training,0.03330524,0.23700353503227234,0.0,76.0409320499,59.4021477783
7,training,0.03116767,0.20038811862468714,0.0,76.0409320499,59.4021477783
8,training,0.028608287,0.2691271901130676,0.0,76.0409320499,59.4021477783
9,training,0.031182915,0.2540458440780641,0.3156883228479832,76.3154592714,59.4296869503
10,training,0.025452405,0.2305450737476349,0.3156883228479832,76.3154592714,59.4296869503
11,training,0.050466556,0.4814988672733307,0.3156883228479832,76.447059725,59.4773493372
12,training,0.06936942,0.4589831233024597,0.4471838790220541,76.447059725,59.4773493372
13,training,0.13274744,0.6984323561191557,0.4471838790220541,76.447059725,59.4773493372
14,training,0.1557733,0.6294701099395754,0.5292169721153432,76.5291462288,59.5330059981
15,training,0.10345901,0.6303676962852478,0.5292169721153432,76.5291462288,59.5330059981
16,training,0.1800726,0.5256461501121521,0.5867239315157884,76.5866439014,59.626529754
17,training,0.16030028,0.1613602638244629,0.6056326308833848,76.6136446446,59.7664263986
18,training,0.107243024,0.09518277645111084,0.6136371360476393,76.6136446446,59.7664263986
19,training,0.09941342,0.2637234926223755,0.6125861792160447,76.6125902267,59.8396651413
20,training,0.16596845,0.6052997261285782,0.6125861792160447,76.6125902267,59.8396651413
21,training,0.14507939,0.745260052382946,0.5821995715006237,76.5820945109,59.9052969315
22,training,0.2527329,0.6240884400904179,0.5821995715006237,76.5820945109,59.9052969315
23,training,0.15878184,0.3900812789797783,0.5821995715006237,76.5820945109,59.9052969315
24,training,0.18693782,0.4313089046627283,0.5821995715006237,76.5820945109,59.9052969315
25,training,0.13614658,0.39565403014421463,0.5821995715006237,76.5820945109,59.9052969315
26,training,0.08803205,0.3547175005078316,0.5821995715006237,76.5820945109,59.9052969315
27,training,0.29835275,0.3417925611138344,0.5821995715006237,76.4197953828,60.116395619
28,training,0.17671108,0.36890919506549835,0.41977573136361224,76.4197953828,60.116395619
29,training,0.14876243,0.3885580599308014,0.41977573136361224,76.4197953828,60.116395619
30,training,0.24696516,0.38448360562324524,0.41977573136361224,76.4197953828,60.116395619
31,training,0.21519668,0.3705170005559921,0.41977573136361224,76.4197953828,60.116395619
32,training,0.266868,0.3909800052642822,0.41977573136361224,76.4197953828,60.116395619
33,training,0.27074242,0.38480521738529205,0.41977573136361224,76.4197953828,60.116395619
34,training,0.20045912,0.3949308693408966,0.41977573136361224,76.266360169,60.3321743282
35,training,0.19022484,0.4094759225845337,0.26650023255524163,76.266360169,60.3321743282
36,training,0.073982395,0.4090241342782974,0.26650023255524163,76.266360169,60.3321743282
37,training,0.17622338,0.382334366440773,0.26650023255524163,76.266360169,60.3321743282
38,training,0.17981066,0.39719173312187195,0.26650023255524163,76.266360169,60.3321743282
39,training,0.16625988,0.38716740161180496,0.26650023255524163,76.266360169,60.3321743282
40,training,0.293505,0.3867237865924835,0.26650023255524163,76.1741663858,60.547809014
41,training,0.25175813,0.3931196630001068,0.17422147491422854,76.1741663858,60.547809014
42,training,0.1969472,0.3150574862957001,0.17422147491422854,76.1741663858,60.547809014
43,training,0.13491794,0.2890695109963417,0.17422147491422854,76.1741663858,60.547809014
44,training,0.11122684,0.26213163882493973,0.17422147491422854,76.1741663858,60.547809014
45,training,0.15310283,0.24388059228658676,0.17422147491422854,76.1741663858,60.547809014
46,training,0.102184266,0.2368892878293991,0.17422147491422854,76.1120200728,60.7387772406
47,training,0.10732861,0.2275696024298668,0.11198479266767922,76.1120200728,60.7387772406
48,training,0.053991184,0.20226509869098663,0.11198479266767922,76.1120200728,60.7387772406
49,training,0.20335183,0.14023172110319138,0.11198479266767922,76.1120200728,60.7387772406
50,training,0.033482663,0.12147790566086769,0.11198479266767922,76.1120200728,60.7387772406
51,training,0.14692423,0.10363194718956947,0.11198479266767922,76.1120200728,60.7387772406
52,training,0.30236608,0.0918307937681675,0.11198479266767922,76.0715233374,60.976696674
53,training,0.024209782,0.10222741216421127,0.07210143551131738,76.0715233374,60.976696674
54,training,0.092060395,0.06600960250943899,0.07210143551131738,76.0715233374,60.976696674
55,training,0.06371029,0.12783777713775635,0.07210143551131738,76.0715233374,60.976696674
56,training,0.040120345,0.1053218599408865,0.07210143551131738,76.0715233374,60.976696674
57,training,0.02333023,0.11766011081635952,0.07210143551131738,76.0715233374,60.976696674
58,training,0.04963217,0.12124063819646835,0.07210143551131738,76.0391511118,61.2156243948
59,training,0.013990707,0.0986417755484581,0.03900716078103856,76.0391511118,61.2156243948
60,training,0.08163333,0.09151878207921982,0.03900716078103856,76.0391511118,61.2156243948
61,training,0.015840095,0.09520330280065535,0.03900716078103856,76.0391511118,61.2156243948
62,training,0.038584385,0.13804897293448448,0.03900716078103856,76.0391511118,61.2156243948
63,training,0.10312705,0.17005185782909393,0.03900716078103856,76.0391511118,61.2156243948
64,training,0.024169834,0.13878323882818222,0.03900716078103856,76.0025494287,61.4208886905
65,training,0.21807235,0.14121995866298676,0.004755008068940501,76.0025494287,61.4208886905
66,training,0.0413675,0.15515267848968506,0.004755008068940501,76.0025494287,61.4208886905
67,training,0.07407832,0.16819934733211994,0.004755008068940501,76.0025494287,61.4208886905
68,training,0.024187077,0.19542299956083298,0.004755008068940501,76.0025494287,61.4208886905
69,training,0.016434079,0.2018477376550436,0.004755008068940501,76.0025494287,61.4208886905
70,training,0.022398729,0.23585599474608898,0.004755008068940501,76.0025494287,61.4208886905
71,training,0.082614414,0.251189605332911,0.04032993391904162,75.9601460182,61.6456974979
72,training,0.006286968,0.24679179629310966,0.04032993391904162,75.9601460182,61.6456974979
73,training,0.052083816,0.20130491303279996,0.04032993391904162,75.9601460182,61.6456974979
74,training,0.115117095,0.22818543575704098,0.04032993391904162,75.9601460182,61.6456974979
75,training,0.09179239,0.20974894240498546,0.04032993391904162,75.9601460182,61.6456974979
76,training,0.026212107,0.2509882524609566,0.04032993391904162,75.9190566584,61.8700347291
77,training,0.01446972,0.24261364713311193,0.08138347901734883,75.9190566584,61.8700347291
78,training,0.014553972,0.23608950898051256,0.08138347901734883,75.9190566584,61.8700347291
79,training,0.026685074,0.23020441830158234,0.08138347901734883,75.9190566584,61.8700347291
