step,mode,loss,angle_error(rad),distance(m),x(m),y(m),the(rad)
1,training,0.09228766,0.215367279946804,0.0,0.0,0.0,0.0
2,training,0.04639284,0.12227094173431396,0.0,0.0,0.0,0.0
3,training,0.014383785,0.026927232742309515,0.0,0.0,0.0,0.0
4,training,0.0016792527,0.01638147234916687,0.0,0.0,0.0,0.0
5,training,0.0013012579,0.044080048799514826,0.0,0.0,0.0,0.0
6,training,0.009962947,0.16270598769187927,0.0,0.0,0.0,0.0
7,training,0.02081399,0.17572331428527826,0.0546533735417611,0.0,0.0,0.0
8,training,0.03402675,0.3034619241952896,0.0546533735417611,0.0,0.0,0.0
9,training,0.030899346,0.2674377113580704,0.0546533735417611,0.0,0.0,0.0
10,training,0.029468333,0.2676762789487839,0.079480517018807,0.0,0.0,0.0
11,training,0.028621182,0.24622060358524323,0.079480517018807,0.0,0.0,0.0
12,training,0.007810615,0.13282793387770653,0.079480517018807,0.0,0.0,0.0
13,training,0.030314563,0.0315835140645504,0.11744354298191263,0.0,0.0,0.0
14,training,0.030779399,0.1719289980828762,0.11744354298191263,0.0,0.0,0.0
15,training,0.05271682,0.2946235872805119,0.11744354298191263,0.0,0.0,0.0
16,training,0.06935457,0.45640615373849863,0.11744354298191263,0.0,0.0,0.0
17,training,0.034160055,0.4017594158649444,0.11744354298191263,0.0,0.0,0.0
18,training,0.064149976,0.3681614883244037,0.11744354298191263,0.0,0.0,0.0
19,training,0.03619571,0.3507499024271965,0.11744354298191263,0.0,0.0,0.0
20,training,0.042513173,0.2785453200340271,0.20218735647963545,0.0,0.0,0.0
21,training,0.050178535,0.2975715845823288,0.20218735647963545,0.0,0.0,0.0
22,training,0.0889578,0.22804185003042218,0.20218735647963545,0.0,0.0,0.0
23,training,0.04668713,0.21232917904853824,0.20218735647963545,0.0,0.0,0.0
24,training,0.060833365,0.13813166320323944,0.20218735647963545,0.0,0.0,0.0
25,training,0.042878978,0.0816137595102191,0.20092148855741607,0.0,0.0,0.0
26,training,0.028644554,0.029964648187160492,0.20092148855741607,0.0,0.0,0.0
27,training,0.057646282,0.01756669580936432,0.20092148855741607,0.0,0.0,0.0
28,training,0.023045583,0.022840019315481186,0.20092148855741607,0.0,0.0,0.0
29,training,0.052260485,0.07243047002702951,0.20092148855741607,0.0,0.0,0.0
30,training,0.049361497,0.09868546575307847,0.20092148855741607,0.0,0.0,0.0
31,training,0.032434516,0.13205669820308685,0.1527784650026701,0.0,0.0,0.0
32,training,0.048288543,0.1238088421523571,0.1527784650026701,0.0,0.0,0.0
33,training,0.027738102,0.037006466649472713,0.1527784650026701,0.0,0.0,0.0
34,training,0.026150689,0.0681241312995553,0.1527784650026701,0.0,0.0,0.0
35,training,0.03525114,0.048419782891869545,0.1527784650026701,0.0,0.0,0.0
36,training,0.0332254,0.0597933802055195,0.1527784650026701,0.0,0.0,0.0
37,training,0.02719529,0.01055578701198101,0.09588078587388041,0.0,0.0,0.0
38,training,0.023396276,0.048297765431925654,0.09588078587388041,0.0,0.0,0.0
39,training,0.037383895,0.0718149896711111,0.09588078587388041,0.0,0.0,0.0
40,training,0.032687083,0.02091573632787913,0.09588078587388041,0.0,0.0,0.0
41,training,0.044054754,0.0331726036965847,0.09588078587388041,0.0,0.0,0.0
42,training,0.036394313,0.036927662789821625,0.09588078587388041,0.0,0.0,0.0
43,training,0.017505292,0.01763550564646721,0.056871448240650824,0.0,0.0,0.0
44,training,0.021875987,0.019120527431368828,0.056871448240650824,0.0,0.0,0.0
45,training,0.023212507,0.05098754167556763,0.056871448240650824,0.0,0.0,0.0
46,training,0.035341334,0.04495042562484741,0.056871448240650824,0.0,0.0,0.0
47,training,0.017883928,0.1239874290768057,0.056871448240650824,0.0,0.0,0.0
48,training,0.01773549,0.13521072221919894,0.056871448240650824,0.0,0.0,0.0
49,training,0.016785974,0.11419995967298747,0.03847512379301987,0.0,0.0,0.0
